PLAYER STARTX    PLAYER STARTY    PLAYER SCALEX  PLAYER SCALEY         PLAYER SPEEDX    PLAYER SPEEDY    NUM OF OBSTACLES    OBS ON    OBS SCALEX  OBS SCALEY   OBS MAXVELY    OBS MINVELY    OBS MAXVELX    OBS MINVELX    GOAL POSX    GOAL POSY    GOAL WIDTH    GOAL HEIGHT    SPECIAL CASE    OBSSTARTPOSX   OBSSPACEX   OBSENDX    OBS START Y      OBS END Y    OBS DOFLIP      DANGERSQUARE ON     DSQUARE X      DSQUARE Y    DSQUARE W    DSQUARE H     DSQUARE PERIOD	DSQUARE SCL AMMOUNT
50               250              45             45                    8                8                30                  1         20          20           4              4              0              0              1360         100          100           400            0               150            90          1200       400              500          0               0                   0              0            0            0             0                 0
50               250              30             30                    8                8                50                  0         20          20           4              4              0              0              1360         100          100           400            0               150            90          1200       300              300          1               0                   0              0            0            0             0                 0        
50               250              30             30                    8                8                50                  1         20          20           4              4              0              0              1360         100          100           400            0               150            90          1200       300              300          0               0                   0              0            0            0             0                 0
1350             250              45             34                    8                8                50                  1         20          20           4              4              0              0              100          100          100           400            0               300            90          1300       1                500          1               0                   0              0            0            0             0                 0
1350             250              45             34                    8                8                50                  1         20          20           2              1              0              0              100          100          100           400            0               300            40          1300       1                500          1               0                   0              0            0            0             0                 0
50               250              45             45                    8                8                50                  1         20          20           0              4              0              0              1360         100          100           400            1               150            120         1200       0                500          1               0                   0              0            0            0             0                 0
50               250              45             45                    8                8                50                  1         20          20           0              4              0              0              1360         100          100           400            2               150            120         1200       0                500          1               0                   0              0            0            0             0                 0
750              50               35             35                    12               5                50                  1         70          10           0              0              10             4              100          480          1300          300            0               0              90          1200       100              450          0               0                   0              0            0            0             0                 0
50               250              45             45                    8                8                30                  1         20          20           8              4              0              0              1360         100          100           400            0               150            90          1200       400              500          1               1                   300            100          700          400           0                 0

